Gene1,Gene2
ACACA,FASN
ACVRL1,AXL
ACVRL1,CAV1
ACVRL1,COL6A1
ACVRL1,DIRAS3
ACVRL1,DPP4
ACVRL1,ETS1
ACVRL1,KDR
ACVRL1,LCK
ACVRL1,NRAS
ACVRL1,PECAM1
ACVRL1,SERPINE1
ACVRL1,YWHAB
ADAR,BAP1
ADAR,BRD4
ADAR,CAV1
ADAR,EIF4G1
ADAR,KAT2A
ADAR,MSH6
ADAR,PARP1
ADAR,RAB11A
ADAR,RBM15
ADAR,RPS6
AKT1,TSC2
ANXA1,BCL2A1
ANXA1,CAV1
ANXA1,CDH3
ANXA1,DPP4
ANXA1,EGFR
ANXA1,ETS1
ANXA1,KIT
ANXA1,MET
ANXA1,NRG1
ANXA1,PRKCA
ANXA1,SNAI2
ANXA1,WWTR1
AR,ASNS
AR,BAK1
AR,CCNE1
AR,ESR1
AR,GATA3
AR,INPP4B
AR,MAPK9
AR,MSH2
AR,NOTCH1
AR,PGR
AR,TGM1
AR,YBX1
ARID1A,BCL2L11
ARID1A,MTOR
ARID1A,SETD2
ARID1A,SMAD1
ARID1A,TP53BP1
ASNS,CCNE1
ASNS,CHEK1
ASNS,EIF4EBP1
ASNS,FOXM1
ASNS,INPP4B
ASNS,PDK1
ASNS,PGR
ASNS,YBX1
ATM,BAX
ATM,BIRC2
ATM,ETS1
ATM,GSK3A
ATM,JAK2
ATM,RICTOR
ATM,SETD2
AXL,COL6A1
AXL,DPP4
AXL,FN1
AXL,NRG1
AXL,PECAM1
BAK1,CCNE1
BAK1,SMAD4
BAK1,YBX1
BAP1,BRD4
BAP1,EIF4G1
BAP1,KAT2A
BAP1,RBM15
BAX,BCL2L11
BAX,COG3
BAX,RAD50
BAX,RICTOR
BAX,SETD2
BAX,SMAD1
BAX,TP53BP1
BCL2,CCNE1
BCL2,ESR1
BCL2,G6PD
BCL2,GAPDH
BCL2,GATA3
BCL2,IRS1
BCL2,PGR
BCL2,SMAD3
BCL2,SMAD4
BCL2,YBX1
BCL2A1,BID
BCL2A1,CCNE1
BCL2A1,DIRAS3
BCL2A1,ERBB3
BCL2A1,IRF1
BCL2A1,LCK
BCL2A1,RAB11A
BCL2A1,YBX1
BECN1,ERCC1
BECN1,ESR1
BECN1,PECAM1
BECN1,PREX1
BECN1,STMN1
BECN1,TP53
BECN1,TP53BP1
BECN1,YBX1
BID,CDH2
BID,CHEK2
BID,ESR1
BID,GAPDH
BID,HSPA1A
BID,MET
BID,RAB11A
BID,RAD50
BID,RB1
BID,TP53BP1
BID,YBX1
BIRC2,MRE11A
BIRC2,YAP1
BRAF,RICTOR
BRAF,SETD2
BRAF,TP53BP1
BRCA2,CCNE2
BRCA2,CDK1
BRCA2,FOXM1
BRCA2,MSH2
BRCA2,RAD51
BRD4,EIF4G1
BRD4,KAT2A
BRD4,RAB11A
BRD4,RBM15
BRD4,RPS6
BRD4,XRCC5
CASP3,CAV1
CASP3,JAK2
CASP3,RAB11A
CASP3,SCD
CASP8,MET
CASP8,MS4A1
CASP8,RAB11A
CASP8,RB1
CAV1,ETS1
CAV1,KDR
CAV1,MYH11
CAV1,PECAM1
CAV1,RAB11A
CAV1,RBM15
CAV1,SERPINE1
CAV1,SNAI2
CCNB1,CCNE1
CCNB1,CCNE2
CCNB1,CDK1
CCNB1,CHEK1
CCNB1,CHEK2
CCNB1,ENY2
CCNB1,FOXM1
CCNB1,GAPDH
CCNB1,MYH11
CCNB1,PCNA
CCNB1,RAD51
CCNB1,SRSF1
CCNB1,STMN1
CCNB1,TUBA1B
CCND1,ESR1
CCND1,GATA3
CCND1,IRS1
CCND1,RB1
CCNE1,CDH3
CCNE1,CDK1
CCNE1,CDKN2A
CCNE1,CHEK1
CCNE1,CHEK2
CCNE1,DUSP4
CCNE1,ESR1
CCNE1,FOXM1
CCNE1,GATA3
CCNE1,INPP4B
CCNE1,IRS1
CCNE1,MSH6
CCNE1,PGR
CCNE1,RB1
CCNE1,RBM15
